class;order;list;iucn_category;exp;obt
Amphibia;Anura;ICMBIO;CR;20;18
Amphibia;Anura;IUCN;DD;72;64
Amphibia;Anura;IUCN;LC;857;877
Amphibia;Anura;IUCN;NT;30;31
Amphibia;Anura;IUCN;VU;49;52
Amphibia;Anura;IUCN;EN;71;75
Amphibia;Anura;IUCN;CR;64;68
Amphibia;Anura;MMA;DD;100;85
Amphibia;Anura;MMA;LC;954;882
Amphibia;Anura;MMA;NT;28;27
Amphibia;Anura;MMA;VU;16;15
Amphibia;Anura;MMA;EN;10;10
Amphibia;Anura;MMA;CR;36;34
Amphibia;Caudata;ICMBIO;DD;1;0
Amphibia;Caudata;ICMBIO;LC;4;4
Amphibia;Caudata;ICMBIO;NT;0;0
Amphibia;Caudata;ICMBIO;VU;0;0
Amphibia;Caudata;ICMBIO;EN;0;1
Amphibia;Caudata;ICMBIO;CR;0;0
Amphibia;Caudata;IUCN;DD;0;1
Amphibia;Caudata;IUCN;LC;4;3
Amphibia;Caudata;IUCN;NT;0;1
Amphibia;Caudata;IUCN;VU;0;0
Amphibia;Caudata;IUCN;EN;0;0
Amphibia;Caudata;IUCN;CR;0;0
Amphibia;Caudata;MMA;DD;0;0
Amphibia;Caudata;MMA;LC;4;5
Amphibia;Caudata;MMA;NT;0;0
Amphibia;Caudata;MMA;VU;0;0
Amphibia;Caudata;MMA;EN;0;0
Amphibia;Caudata;MMA;CR;0;0
Amphibia;Gymnophiona;ICMBIO;DD;7;14
Amphibia;Gymnophiona;ICMBIO;LC;30;17
Amphibia;Gymnophiona;ICMBIO;NT;1;0
Amphibia;Gymnophiona;ICMBIO;VU;0;0
Amphibia;Gymnophiona;ICMBIO;EN;0;0
Amphibia;Gymnophiona;ICMBIO;CR;1;0
Amphibia;Gymnophiona;IUCN;DD;2;11
Amphibia;Gymnophiona;IUCN;LC;29;31
Amphibia;Gymnophiona;IUCN;NT;1;0
Amphibia;Gymnophiona;IUCN;VU;2;0
Amphibia;Gymnophiona;IUCN;EN;2;0
Amphibia;Gymnophiona;IUCN;CR;2;0
Amphibia;Gymnophiona;MMA;DD;3;11
Amphibia;Gymnophiona;MMA;LC;33;24
Amphibia;Gymnophiona;MMA;NT;1;0
Amphibia;Gymnophiona;MMA;VU;1;0
Amphibia;Gymnophiona;MMA;EN;0;0
Amphibia;Gymnophiona;MMA;CR;1;0
Reptilia;Crocodylia;ICMBIO;DD;0;0
Reptilia;Crocodylia;ICMBIO;LC;5;6
Reptilia;Crocodylia;ICMBIO;NT;0;0
Reptilia;Crocodylia;ICMBIO;VU;0;0
Reptilia;Crocodylia;ICMBIO;EN;0;0
Reptilia;Crocodylia;ICMBIO;CR;0;0
Reptilia;Crocodylia;IUCN;DD;0;0
Reptilia;Crocodylia;IUCN;LC;5;5
Reptilia;Crocodylia;IUCN;NT;0;0
Reptilia;Crocodylia;IUCN;VU;0;0
Reptilia;Crocodylia;IUCN;EN;0;0
Reptilia;Crocodylia;IUCN;CR;0;1
Reptilia;Crocodylia;MMA;DD;0;0
Reptilia;Crocodylia;MMA;LC;5;6
Reptilia;Crocodylia;MMA;NT;0;0
Reptilia;Crocodylia;MMA;VU;0;0
Reptilia;Crocodylia;MMA;EN;0;0
Reptilia;Crocodylia;MMA;CR;0;0
Reptilia;Squamata;ICMBIO;DD;69;46
Reptilia;Squamata;ICMBIO;LC;668;487
Reptilia;Squamata;ICMBIO;NT;17;8
Reptilia;Squamata;ICMBIO;VU;26;19
